model_type,data_profile,median_cv_mse,std_cv_mse,cv_cv_mse,median_test_mse,std_test_mse,cv_test_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
Classical_ESN,Mackey_Glass_(tau=17),9.024361397887657e-08,2.639535592027551e-08,0.29249001404635566,6.313200845159439e-08,1.1119646035987567e-08,0.1761332533007152,0.9,1e-08,2,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),7.15192375019036e-08,1.9751344236207148e-08,0.27616827200767396,4.675002314368611e-08,7.6497445141231e-09,0.16363081769203888,0.9,1e-08,4,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),5.695761288249483e-08,1.8813616793318173e-08,0.33030908145907023,3.5921615047441874e-08,5.581846223922069e-09,0.15538962311550006,0.9,1e-08,6,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),5.8234501998770365e-08,1.6733206242740847e-08,0.28734179341130406,3.063319035320295e-08,3.964773178396522e-09,0.1294273672667585,0.9,1e-08,8,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),5.021930223478111e-08,1.651135417857083e-08,0.32878501778814684,3.0348239990319954e-08,4.725008706364661e-09,0.15569300585048018,0.9,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),9.88921980855221e-08,3.160679319353486e-08,0.3196085617007043,6.269951060154595e-08,1.5922870144509457e-08,0.25395525406408603,1.0,1e-08,1,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),6.838698120643114e-08,1.9812750043748004e-08,0.28971523079724426,4.7257075376867714e-08,8.354357685697804e-09,0.17678533043090627,1.0,1e-08,2,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),5.99948372635128e-08,1.648885493862038e-08,0.2748378975710372,3.980753586124409e-08,6.374558435663501e-09,0.1601344644361586,1.0,1e-08,4,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),4.920047845601864e-08,1.3600506846787546e-08,0.27643037778474716,2.9461808085559497e-08,4.474571868928028e-09,0.15187702859014984,1.0,1e-08,6,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),4.8651299496640705e-08,1.344433628886509e-08,0.27634074378205253,2.6982953260824307e-08,3.5616464024465274e-09,0.13199616691392965,1.0,1e-08,8,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),4.545435730082363e-08,1.4594201975636027e-08,0.3210737725109487,2.5850915970345496e-08,4.2444682305919856e-09,0.16419024515266561,1.0,1e-08,10,,,2025,100.0,0.9,0.1
QRC,Mackey_Glass_(tau=30),0.0231485180930229,0.002464855341149333,0.10648004901412048,0.026181299068324247,2.092155230849516e-17,7.991029113527581e-16,0.1,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),0.00033119891797107393,0.00011484153082290934,0.3467448852986268,0.00033303975237756046,9.56086857530977e-05,0.2870788999527842,0.1,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),5.901288584876386e-05,5.963432909858325e-05,1.010530636502204,5.36038801359619e-05,3.574259394385531e-05,0.6667911698406368,0.1,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),2.0667620551797282e-05,1.3346350259205314e-05,0.6457613359872092,1.3749553209348817e-05,9.873535631868185e-06,0.7180986524823811,0.1,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),1.677617304733035e-05,1.1900554872105123e-05,0.7093724437945577,1.2922170522509005e-05,1.0162476025334683e-05,0.7864372326330753,0.1,1e-08,8,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),1.5308139170233348e-05,1.536017514426905e-05,1.0033992357566808,1.2657157694885388e-05,1.2005211407617503e-05,0.9484918887017321,0.1,1e-08,10,2.0,0.0,2025,,,
